Município,Classificação,Estabelecimentos
Aiuruoca,Agência e Operadores,6
Aiuruoca,Alimentação,111
Aiuruoca,Comércio e Serviços,17
Aiuruoca,Entretenimento,17
Aiuruoca,Hospedagem,44
Aiuruoca,Transportes,13
Alagoa,Agência e Operadores,4
Alagoa,Alimentação,24
Alagoa,Comércio e Serviços,3
Alagoa,Entretenimento,4
Alagoa,Hospedagem,6
Alagoa,Transportes,3
Albertina,Agência e Operadores,1
Albertina,Alimentação,25
Albertina,Comércio e Serviços,1
Albertina,Entretenimento,5
Albertina,Hospedagem,1
Alfenas,Agência e Operadores,27
Alfenas,Alimentação,793
Alfenas,Comércio e Serviços,364
Alfenas,Entretenimento,304
Alfenas,Hospedagem,43
Alfenas,Transportes,483
Alpinópolis,Agência e Operadores,5
Alpinópolis,Alimentação,195
Alpinópolis,Comércio e Serviços,67
Alpinópolis,Entretenimento,46
Alpinópolis,Hospedagem,8
Alpinópolis,Transportes,43
Alterosa,Agência e Operadores,1
Alterosa,Alimentação,59
Alterosa,Comércio e Serviços,36
Alterosa,Entretenimento,22
Alterosa,Hospedagem,5
Alterosa,Transportes,15
Andradas,Agência e Operadores,26
Andradas,Alimentação,377
Andradas,Comércio e Serviços,118
Andradas,Entretenimento,93
Andradas,Hospedagem,23
Andradas,Transportes,112
Andrelândia,Agência e Operadores,5
Andrelândia,Alimentação,123
Andrelândia,Comércio e Serviços,27
Andrelândia,Entretenimento,34
Andrelândia,Hospedagem,12
Andrelândia,Transportes,21
Arantina,Alimentação,31
Arantina,Comércio e Serviços,4
Arantina,Entretenimento,7
Arantina,Hospedagem,5
Arantina,Transportes,1
Arceburgo,Agência e Operadores,2
Arceburgo,Alimentação,70
Arceburgo,Comércio e Serviços,22
Arceburgo,Entretenimento,11
Arceburgo,Hospedagem,3
Arceburgo,Transportes,14
Areado,Agência e Operadores,5
Areado,Alimentação,119
Areado,Comércio e Serviços,42
Areado,Entretenimento,32
Areado,Hospedagem,8
Areado,Transportes,44
Baependi,Agência e Operadores,6
Baependi,Alimentação,143
Baependi,Comércio e Serviços,233
Baependi,Entretenimento,50
Baependi,Hospedagem,21
Baependi,Transportes,41
Bandeira do Sul,Agência e Operadores,3
