Município,Classificação,Ano,Mês,Estoque
Alagoa,Transportes,2021,12,3
Alagoa,Transportes,2022,1,3
Alagoa,Transportes,2022,2,3
Alagoa,Transportes,2022,3,3
Alagoa,Transportes,2022,4,3
Alagoa,Transportes,2022,5,3
Alagoa,Transportes,2022,6,3
Alagoa,Transportes,2022,7,3
Alagoa,Transportes,2022,8,3
Alagoa,Transportes,2022,9,3
Alagoa,Transportes,2022,10,3
Alagoa,Transportes,2022,11,3
Alagoa,Transportes,2022,12,3
Alagoa,Transportes,2023,1,3
Alagoa,Transportes,2023,2,3
Alagoa,Transportes,2023,3,3
Alagoa,Transportes,2023,4,2
Alagoa,Transportes,2023,5,2
Alagoa,Transportes,2023,6,2
Alagoa,Transportes,2023,7,2
Alagoa,Transportes,2023,8,2
Alagoa,Transportes,2023,9,2
Alagoa,Transportes,2023,10,2
Alagoa,Transportes,2023,11,1
Alagoa,Transportes,2023,12,1
Alagoa,Transportes,2024,1,1
Alagoa,Transportes,2024,2,1
Alagoa,Transportes,2024,3,1
Alagoa,Transportes,2024,4,1
Alagoa,Transportes,2024,5,2
Alagoa,Transportes,2024,6,2
Alagoa,Transportes,2024,7,2
Alagoa,Transportes,2024,8,2
Alagoa,Transportes,2024,9,2
Alagoa,Transportes,2024,10,2
Alagoa,Transportes,2024,11,2
Alagoa,Transportes,2024,12,2
Alagoa,Transportes,2025,1,2
Alagoa,Transportes,2025,2,2
Alagoa,Transportes,2025,3,3
Alagoa,Transportes,2025,4,3
Alagoa,Transportes,2025,5,3
Alagoa,Transportes,2025,6,4
Alagoa,Transportes,2025,7,4
Alagoa,Transportes,2025,8,4
Alagoa,Transportes,2025,9,4
Alagoa,Transportes,2025,10,5
Alagoa,Transportes,2025,11,5
Alagoa,Transportes,2025,12,5
Alagoa,Comércio e Serviços,2021,12,4
Alagoa,Comércio e Serviços,2022,1,4
Alagoa,Comércio e Serviços,2022,2,4
Alagoa,Comércio e Serviços,2022,3,5
Alagoa,Comércio e Serviços,2022,4,4
Alagoa,Comércio e Serviços,2022,5,4
Alagoa,Comércio e Serviços,2022,6,4
Alagoa,Comércio e Serviços,2022,7,4
Alagoa,Comércio e Serviços,2022,8,3
Alagoa,Comércio e Serviços,2022,9,2
Alagoa,Comércio e Serviços,2022,10,2
Alagoa,Comércio e Serviços,2022,11,2
Alagoa,Comércio e Serviços,2022,12,6
Alagoa,Comércio e Serviços,2023,1,5
Alagoa,Comércio e Serviços,2023,2,5
Alagoa,Comércio e Serviços,2023,3,5
Alagoa,Comércio e Serviços,2023,4,5
Alagoa,Comércio e Serviços,2023,5,5
Alagoa,Comércio e Serviços,2023,6,5
Alagoa,Comércio e Serviços,2023,7,4
Alagoa,Comércio e Serviços,2023,8,4
Alagoa,Comércio e Serviços,2023,9,4
Alagoa,Comércio e Serviços,2023,10,5
Alagoa,Comércio e Serviços,2023,11,6
Alagoa,Comércio e Serviços,2023,12,4
Alagoa,Comércio e Serviços,2024,1,4
Alagoa,Comércio e Serviços,2024,2,4
Alagoa,Comércio e Serviços,2024,3,4
Alagoa,Comércio e Serviços,2024,4,4
Alagoa,Comércio e Serviços,2024,5,4
Alagoa,Comércio e Serviços,2024,6,5
Alagoa,Comércio e Serviços,2024,7,5
Alagoa,Comércio e Serviços,2024,8,5
Alagoa,Comércio e Serviços,2024,9,5
Alagoa,Comércio e Serviços,2024,10,6
Alagoa,Comércio e Serviços,2024,11,7
Alagoa,Comércio e Serviços,2024,12,8
Alagoa,Comércio e Serviços,2025,1,8
Alagoa,Comércio e Serviços,2025,2,8
Alagoa,Comércio e Serviços,2025,3,6
Alagoa,Comércio e Serviços,2025,4,6
Alagoa,Comércio e Serviços,2025,5,7
Alagoa,Comércio e Serviços,2025,6,7
Alagoa,Comércio e Serviços,2025,7,7
Alagoa,Comércio e Serviços,2025,8,7
Alagoa,Comércio e Serviços,2025,9,7
Alagoa,Comércio e Serviços,2025,10,6
Alagoa,Comércio e Serviços,2025,11,6
Alagoa,Comércio e Serviços,2025,12,5
Alagoa,Hospedagem,2021,12,0
Alagoa,Hospedagem,2022,1,0
Alagoa,Hospedagem,2022,2,0
Alagoa,Hospedagem,2022,3,0
Alagoa,Hospedagem,2022,4,0
Alagoa,Hospedagem,2022,5,0
Alagoa,Hospedagem,2022,6,0
Alagoa,Hospedagem,2022,7,0
Alagoa,Hospedagem,2022,8,0
Alagoa,Hospedagem,2022,9,0
Alagoa,Hospedagem,2022,10,0
Alagoa,Hospedagem,2022,11,0
Alagoa,Hospedagem,2022,12,2
Alagoa,Hospedagem,2023,1,2
Alagoa,Hospedagem,2023,2,1
Alagoa,Hospedagem,2023,3,1
Alagoa,Hospedagem,2023,4,1
Alagoa,Hospedagem,2023,5,1
Alagoa,Hospedagem,2023,6,1
Alagoa,Hospedagem,2023,7,1
Alagoa,Hospedagem,2023,8,1
Alagoa,Hospedagem,2023,9,1
Alagoa,Hospedagem,2023,10,1
Alagoa,Hospedagem,2023,11,1
