Município,Classificação,Funcionarios
Aiuruoca,Comércio e Serviços,20
Aiuruoca,Transportes,0
Aiuruoca,Alimentação,17
Aiuruoca,Entretenimento,2
Aiuruoca,Agência e Operadores,0
Aiuruoca,Hospedagem,20
Alagoa,Comércio e Serviços,5
Alagoa,Transportes,5
Alagoa,Alimentação,3
Alagoa,Entretenimento,1
Alagoa,Agência e Operadores,0
Alagoa,Hospedagem,0
Albertina,Comércio e Serviços,0
Albertina,Transportes,0
Albertina,Hospedagem,10
Albertina,Alimentação,0
Albertina,Entretenimento,4
Albertina,Agência e Operadores,0
Alfenas,Alimentação,844
Alfenas,Transportes,377
Alfenas,Entretenimento,140
Alfenas,Comércio e Serviços,282
Alfenas,Hospedagem,219
Alfenas,Agência e Operadores,9
Alpinópolis,Entretenimento,25
Alpinópolis,Comércio e Serviços,26
Alpinópolis,Transportes,2
Alpinópolis,Agência e Operadores,0
Alpinópolis,Alimentação,52
Alpinópolis,Hospedagem,16
Alterosa,Entretenimento,7
Alterosa,Transportes,1
Alterosa,Hospedagem,0
Alterosa,Alimentação,12
Alterosa,Comércio e Serviços,12
Alterosa,Agência e Operadores,0
Andrelândia,Comércio e Serviços,5
Andrelândia,Transportes,2
Andrelândia,Alimentação,30
Andrelândia,Entretenimento,12
Andrelândia,Agência e Operadores,0
Andrelândia,Hospedagem,14
Andradas,Transportes,58
Andradas,Entretenimento,71
Andradas,Comércio e Serviços,81
Andradas,Agência e Operadores,11
Andradas,Hospedagem,57
Andradas,Alimentação,314
Arantina,Comércio e Serviços,4
Arantina,Transportes,0
Arantina,Alimentação,2
Arantina,Entretenimento,1
Arantina,Agência e Operadores,0
Arantina,Hospedagem,3
Arceburgo,Comércio e Serviços,5
Arceburgo,Transportes,1
Arceburgo,Hospedagem,9
Arceburgo,Alimentação,87
Arceburgo,Entretenimento,5
Arceburgo,Agência e Operadores,0
Areado,Transportes,51
Areado,Comércio e Serviços,18
Areado,Entretenimento,11
Areado,Agência e Operadores,1
Areado,Alimentação,50
Areado,Hospedagem,6
Baependi,Comércio e Serviços,114
Baependi,Transportes,3
Baependi,Entretenimento,14
Baependi,Agência e Operadores,0
Baependi,Hospedagem,33
Baependi,Alimentação,73
Bandeira do Sul,Comércio e Serviços,12
Bandeira do Sul,Transportes,1
Bandeira do Sul,Hospedagem,0
Bandeira do Sul,Alimentação,7
Bandeira do Sul,Entretenimento,1
Bandeira do Sul,Agência e Operadores,0
Boa Esperança,Transportes,29
Boa Esperança,Entretenimento,90
Boa Esperança,Comércio e Serviços,136
Boa Esperança,Agência e Operadores,5
Boa Esperança,Hospedagem,59
Boa Esperança,Alimentação,209
Bocaina de Minas,Comércio e Serviços,17
Bocaina de Minas,Transportes,0
Bocaina de Minas,Alimentação,31
Bocaina de Minas,Entretenimento,3
Bocaina de Minas,Agência e Operadores,0
Bocaina de Minas,Hospedagem,88
Bom Jardim de Minas,Comércio e Serviços,6
Bom Jardim de Minas,Transportes,0
Bom Jardim de Minas,Hospedagem,11
Bom Jardim de Minas,Alimentação,33
Bom Jardim de Minas,Entretenimento,8
Bom Jardim de Minas,Agência e Operadores,0
Bom Jesus da Penha,Comércio e Serviços,2
Bom Jesus da Penha,Transportes,1
Bom Jesus da Penha,Hospedagem,1
Bom Jesus da Penha,Alimentação,2
Bom Jesus da Penha,Entretenimento,6
Bom Jesus da Penha,Agência e Operadores,0
Bom Repouso,Comércio e Serviços,13
Bom Repouso,Transportes,0
Bom Repouso,Alimentação,27
Bom Repouso,Entretenimento,5
Bom Repouso,Agência e Operadores,0
Bom Repouso,Hospedagem,2
Borda da Mata,Transportes,7
Borda da Mata,Comércio e Serviços,16
Borda da Mata,Entretenimento,18
Borda da Mata,Agência e Operadores,0
Borda da Mata,Hospedagem,11
Borda da Mata,Alimentação,54
Pouso Alegre,Comércio e Serviços,655
Pouso Alegre,Transportes,1006
Pouso Alegre,Entretenimento,330
Pouso Alegre,Agência e Operadores,19
Pouso Alegre,Hospedagem,373
Pouso Alegre,Alimentação,2172
Botelhos,Transportes,3
Botelhos,Hospedagem,9
Botelhos,Alimentação,43
Botelhos,Entretenimento,12
Botelhos,Comércio e Serviços,22
Botelhos,Agência e Operadores,0
Brazópolis,Comércio e Serviços,30
Brazópolis,Transportes,11
Brazópolis,Alimentação,12
Brazópolis,Entretenimento,13
Brazópolis,Agência e Operadores,0
Brazópolis,Hospedagem,5
Bueno Brandão,Transportes,0
Bueno Brandão,Alimentação,6
Bueno Brandão,Entretenimento,7
Bueno Brandão,Comércio e Serviços,13
Bueno Brandão,Agência e Operadores,0
Bueno Brandão,Hospedagem,95
Cabo Verde,Comércio e Serviços,12
Cabo Verde,Transportes,14
Cabo Verde,Alimentação,11
Cabo Verde,Entretenimento,9
Cabo Verde,Agência e Operadores,0
Cabo Verde,Hospedagem,0
Cachoeira de Minas,Comércio e Serviços,18
Cachoeira de Minas,Transportes,4
Cachoeira de Minas,Hospedagem,0
Cachoeira de Minas,Entretenimento,5
Cachoeira de Minas,Agência e Operadores,0
Cachoeira de Minas,Alimentação,35
Caldas,Transportes,0
Caldas,Entretenimento,4
Caldas,Comércio e Serviços,10
Caldas,Agência e Operadores,0
Caldas,Alimentação,45
Caldas,Hospedagem,9
Camanducaia,Agência e Operadores,7
Camanducaia,Transportes,27
Camanducaia,Alimentação,536
Camanducaia,Entretenimento,24
Camanducaia,Comércio e Serviços,60
Camanducaia,Hospedagem,795
Campestre,Comércio e Serviços,28
Campestre,Transportes,0
Campestre,Hospedagem,0
Campestre,Entretenimento,12
Campestre,Agência e Operadores,0
Campestre,Alimentação,61
Cambuí,Transportes,160
Cambuí,Hospedagem,48
Cambuí,Comércio e Serviços,61
Cambuí,Agência e Operadores,1
Cambuí,Entretenimento,30
Cambuí,Alimentação,276
Campanha,Entretenimento,10
Campanha,Transportes,2
Campanha,Comércio e Serviços,36
Campanha,Agência e Operadores,0
Campanha,Hospedagem,11
Campanha,Alimentação,106
Cambuquira,Transportes,9
Cambuquira,Alimentação,45
Cambuquira,Entretenimento,4
Cambuquira,Comércio e Serviços,21
Cambuquira,Agência e Operadores,1
Cambuquira,Hospedagem,15
Campo do Meio,Transportes,22
Campo do Meio,Hospedagem,0
Campo do Meio,Alimentação,5
Campo do Meio,Entretenimento,80
Campo do Meio,Comércio e Serviços,66
Campo do Meio,Agência e Operadores,0
