Município,Classificação,Ano,Mês,Saldo
Caldas,Hospedagem,2021,1,1
Caldas,Hospedagem,2021,2,0
Caldas,Hospedagem,2021,3,0
Caldas,Hospedagem,2021,4,1
Caldas,Hospedagem,2021,5,-1
Caldas,Hospedagem,2021,6,-2
Caldas,Hospedagem,2021,7,0
Caldas,Hospedagem,2021,8,-1
Caldas,Hospedagem,2021,9,0
Caldas,Hospedagem,2021,10,0
Caldas,Hospedagem,2021,11,0
Caldas,Hospedagem,2021,12,0
Caldas,Hospedagem,2022,1,0
Caldas,Hospedagem,2022,2,0
Caldas,Hospedagem,2022,3,0
Caldas,Hospedagem,2022,4,0
Caldas,Hospedagem,2022,5,0
Caldas,Hospedagem,2022,6,0
Caldas,Hospedagem,2022,7,-1
Caldas,Hospedagem,2022,8,0
Caldas,Hospedagem,2022,9,2
Caldas,Hospedagem,2022,10,-1
Caldas,Hospedagem,2022,11,-1
Caldas,Hospedagem,2022,12,0
Caldas,Hospedagem,2023,1,0
Caldas,Hospedagem,2023,2,1
Caldas,Hospedagem,2023,3,1
Caldas,Hospedagem,2023,4,0
Caldas,Hospedagem,2023,5,0
Caldas,Hospedagem,2023,6,0
Caldas,Hospedagem,2023,7,-1
Caldas,Hospedagem,2023,8,0
Caldas,Hospedagem,2023,9,0
Caldas,Hospedagem,2023,10,1
Caldas,Hospedagem,2023,11,0
Caldas,Hospedagem,2023,12,3
Caldas,Hospedagem,2024,1,1
Caldas,Hospedagem,2024,2,1
Caldas,Hospedagem,2024,3,-1
Caldas,Hospedagem,2024,4,0
Caldas,Hospedagem,2024,5,-2
Caldas,Hospedagem,2024,6,1
Caldas,Hospedagem,2024,7,-1
Caldas,Hospedagem,2024,8,0
Caldas,Hospedagem,2024,9,-1
Caldas,Hospedagem,2024,10,-1
Caldas,Hospedagem,2024,11,1
Caldas,Hospedagem,2024,12,0
Caldas,Hospedagem,2025,1,-1
Caldas,Hospedagem,2025,2,1
Caldas,Hospedagem,2025,3,0
Caldas,Hospedagem,2025,4,0
Caldas,Hospedagem,2025,5,1
Caldas,Hospedagem,2025,6,1
Caldas,Hospedagem,2025,7,0
Caldas,Hospedagem,2025,8,-1
Caldas,Hospedagem,2025,9,-2
Caldas,Hospedagem,2025,10,0
Caldas,Hospedagem,2025,11,-1
Caldas,Hospedagem,2025,12,0
Caldas,Comércio e Serviços,2021,1,-1
Caldas,Comércio e Serviços,2021,2,-1
Caldas,Comércio e Serviços,2021,3,-1
Caldas,Comércio e Serviços,2021,4,0
Caldas,Comércio e Serviços,2021,5,0
Caldas,Comércio e Serviços,2021,6,0
Caldas,Comércio e Serviços,2021,7,0
Caldas,Comércio e Serviços,2021,8,0
Caldas,Comércio e Serviços,2021,9,0
Caldas,Comércio e Serviços,2021,10,-4
Caldas,Comércio e Serviços,2021,11,0
Caldas,Comércio e Serviços,2021,12,-1
Caldas,Comércio e Serviços,2022,1,2
Caldas,Comércio e Serviços,2022,2,0
Caldas,Comércio e Serviços,2022,3,0
Caldas,Comércio e Serviços,2022,4,-1
Caldas,Comércio e Serviços,2022,5,0
Caldas,Comércio e Serviços,2022,6,-1
Caldas,Comércio e Serviços,2022,7,-1
Caldas,Comércio e Serviços,2022,8,0
Caldas,Comércio e Serviços,2022,9,0
Caldas,Comércio e Serviços,2022,10,-2
Caldas,Comércio e Serviços,2022,11,-2
Caldas,Comércio e Serviços,2022,12,-1
Caldas,Comércio e Serviços,2023,1,0
Caldas,Comércio e Serviços,2023,2,0
Caldas,Comércio e Serviços,2023,3,0
Caldas,Comércio e Serviços,2023,4,1
Caldas,Comércio e Serviços,2023,5,0
Caldas,Comércio e Serviços,2023,6,1
Caldas,Comércio e Serviços,2023,7,0
Caldas,Comércio e Serviços,2023,8,0
Caldas,Comércio e Serviços,2023,9,0
Caldas,Comércio e Serviços,2023,10,-1
Caldas,Comércio e Serviços,2023,11,1
Caldas,Comércio e Serviços,2023,12,0
Caldas,Comércio e Serviços,2024,1,1
Caldas,Comércio e Serviços,2024,2,-1
Caldas,Comércio e Serviços,2024,3,1
Caldas,Comércio e Serviços,2024,4,-2
Caldas,Comércio e Serviços,2024,5,-1
Caldas,Comércio e Serviços,2024,6,0
Caldas,Comércio e Serviços,2024,7,0
Caldas,Comércio e Serviços,2024,8,0
Caldas,Comércio e Serviços,2024,9,0
Caldas,Comércio e Serviços,2024,10,-1
Caldas,Comércio e Serviços,2024,11,0
Caldas,Comércio e Serviços,2024,12,1
Caldas,Comércio e Serviços,2025,1,0
Caldas,Comércio e Serviços,2025,2,1
Caldas,Comércio e Serviços,2025,3,1
Caldas,Comércio e Serviços,2025,4,0
Caldas,Comércio e Serviços,2025,5,0
Caldas,Comércio e Serviços,2025,6,0
Caldas,Comércio e Serviços,2025,7,0
